Datetime,Open,High,Low,Close,Adj_close,Volume
2021-04-11 00:00:00,59122.015625,59122.015625,59122.015625,59122.015625,59122.015625,0
2021-04-11 00:01:00,59178.4453125,59178.4453125,59178.4453125,59178.4453125,59178.4453125,0
2021-04-11 00:02:00,59212.80078125,59212.80078125,59212.80078125,59212.80078125,59212.80078125,31232000
2021-04-11 00:03:00,59282.453125,59282.453125,59282.453125,59282.453125,59282.453125,28114944
2021-04-11 00:04:00,59289.546875,59289.546875,59289.546875,59289.546875,59289.546875,58781696
2021-04-11 00:05:00,59365.31640625,59365.31640625,59365.31640625,59365.31640625,59365.31640625,7208960
2021-04-11 00:07:00,59445.9296875,59445.9296875,59445.9296875,59445.9296875,59445.9296875,82964480
2021-04-11 00:08:00,59489.4765625,59489.4765625,59489.4765625,59489.4765625,59489.4765625,25305088
2021-04-11 00:09:00,59506.91015625,59506.91015625,59506.91015625,59506.91015625,59506.91015625,21905408
2021-04-11 00:10:00,59504.2890625,59504.2890625,59504.2890625,59504.2890625,59504.2890625,80367616
2021-04-11 00:11:00,59496.0546875,59496.0546875,59496.0546875,59496.0546875,59496.0546875,0
2021-04-11 00:12:00,59496.3125,59496.3125,59496.3125,59496.3125,59496.3125,4730880
2021-04-11 00:13:00,59489.2265625,59489.2265625,59489.2265625,59489.2265625,59489.2265625,0
2021-04-11 00:14:00,59495.71484375,59495.71484375,59495.71484375,59495.71484375,59495.71484375,0
2021-04-11 00:15:00,59473.71484375,59473.71484375,59473.71484375,59473.71484375,59473.71484375,0
2021-04-11 00:16:00,59482.890625,59482.890625,59482.890625,59482.890625,59482.890625,0
2021-04-11 00:17:00,59526.22265625,59526.22265625,59526.22265625,59526.22265625,59526.22265625,14065664
2021-04-11 00:18:00,59520.80078125,59520.80078125,59520.80078125,59520.80078125,59520.80078125,9711616
2021-04-11 00:19:00,59472.171875,59472.171875,59472.171875,59472.171875,59472.171875,13574144
2021-04-11 00:20:00,59513.28515625,59513.28515625,59513.28515625,59513.28515625,59513.28515625,0
2021-04-11 00:22:00,59478.66796875,59478.66796875,59478.66796875,59478.66796875,59478.66796875,0
2021-04-11 00:23:00,59480.03125,59480.03125,59480.03125,59480.03125,59480.03125,0
2021-04-11 00:24:00,59507.08203125,59507.08203125,59507.08203125,59507.08203125,59507.08203125,7188480
2021-04-11 00:25:00,59470.984375,59470.984375,59470.984375,59470.984375,59470.984375,28217344
2021-04-11 00:26:00,59500.54296875,59500.54296875,59500.54296875,59500.54296875,59500.54296875,0
2021-04-11 00:27:00,59563.83984375,59563.83984375,59563.83984375,59563.83984375,59563.83984375,11329536
2021-04-11 00:28:00,59567.87109375,59567.87109375,59567.87109375,59567.87109375,59567.87109375,32817152
2021-04-11 00:29:00,59607.69140625,59607.69140625,59607.69140625,59607.69140625,59607.69140625,6598656
2021-04-11 00:30:00,59635.42578125,59635.42578125,59635.42578125,59635.42578125,59635.42578125,31645696
2021-04-11 00:31:00,59610.3125,59610.3125,59610.3125,59610.3125,59610.3125,1142784
2021-04-11 00:32:00,59653.06640625,59653.06640625,59653.06640625,59653.06640625,59653.06640625,0
2021-04-11 00:33:00,59662.6484375,59662.6484375,59662.6484375,59662.6484375,59662.6484375,30699520
2021-04-11 00:34:00,59687.49609375,59687.49609375,59687.49609375,59687.49609375,59687.49609375,60968960
2021-04-11 00:35:00,59714.80078125,59714.80078125,59714.80078125,59714.80078125,59714.80078125,16408576
2021-04-11 00:36:00,59757.77734375,59757.77734375,59757.77734375,59757.77734375,59757.77734375,9838592
2021-04-11 00:37:00,59722.4453125,59722.4453125,59722.4453125,59722.4453125,59722.4453125,9310208
2021-04-11 00:38:00,59747.48046875,59747.48046875,59747.48046875,59747.48046875,59747.48046875,0
2021-04-11 00:39:00,59787.046875,59787.046875,59787.046875,59787.046875,59787.046875,18120704
2021-04-11 00:40:00,59776.7421875,59776.7421875,59776.7421875,59776.7421875,59776.7421875,77950976
2021-04-11 00:41:00,59799.37109375,59799.37109375,59799.37109375,59799.37109375,59799.37109375,9076736
2021-04-11 00:42:00,59825.95703125,59825.95703125,59825.95703125,59825.95703125,59825.95703125,17448960
2021-04-11 00:43:00,59813.15625,59813.15625,59813.15625,59813.15625,59813.15625,47517696
2021-04-11 00:44:00,59875.359375,59875.359375,59875.359375,59875.359375,59875.359375,10280960
2021-04-11 00:45:00,59853.46484375,59853.46484375,59853.46484375,59853.46484375,59853.46484375,31051776
2021-04-11 00:46:00,59816.5078125,59816.5078125,59816.5078125,59816.5078125,59816.5078125,0
2021-04-11 00:47:00,59745.48046875,59745.48046875,59745.48046875,59745.48046875,59745.48046875,0
2021-04-11 00:48:00,59755.54296875,59755.54296875,59755.54296875,59755.54296875,59755.54296875,0
2021-04-11 00:49:00,59800.73046875,59800.73046875,59800.73046875,59800.73046875,59800.73046875,75014144
2021-04-11 00:50:00,59812.98828125,59812.98828125,59812.98828125,59812.98828125,59812.98828125,6221824
2021-04-11 00:51:00,59803.796875,59803.796875,59803.796875,59803.796875,59803.796875,6160384
2021-04-11 00:52:00,59838.0234375,59838.0234375,59838.0234375,59838.0234375,59838.0234375,41095168
2021-04-11 00:53:00,59868.6796875,59868.6796875,59868.6796875,59868.6796875,59868.6796875,21639168
2021-04-11 00:54:00,59829.14453125,59829.14453125,59829.14453125,59829.14453125,59829.14453125,2424832
2021-04-11 00:55:00,59814.15625,59814.15625,59814.15625,59814.15625,59814.15625,729088
2021-04-11 00:56:00,59776.9453125,59776.9453125,59776.9453125,59776.9453125,59776.9453125,0
2021-04-11 00:57:00,59789.38671875,59789.38671875,59789.38671875,59789.38671875,59789.38671875,2891776
2021-04-11 00:58:00,59790.69140625,59790.69140625,59790.69140625,59790.69140625,59790.69140625,21594112
2021-04-11 00:59:00,59793.234375,59793.234375,59793.234375,59793.234375,59793.234375,2490368
2021-04-11 01:00:00,59846.23046875,59846.23046875,59846.23046875,59846.23046875,59846.23046875,4063232
2021-04-11 01:01:00,60010.60546875,60010.60546875,60010.60546875,60010.60546875,60010.60546875,0
2021-04-11 01:02:00,59953.95703125,59953.95703125,59953.95703125,59953.95703125,59953.95703125,140849152
2021-04-11 01:03:00,59979.9375,59979.9375,59979.9375,59979.9375,59979.9375,0
2021-04-11 01:04:00,59919.359375,59919.359375,59919.359375,59919.359375,59919.359375,61210624
2021-04-11 01:05:00,59791.48828125,59791.48828125,59791.48828125,59791.48828125,59791.48828125,0
2021-04-11 01:06:00,59756.11328125,59756.11328125,59756.11328125,59756.11328125,59756.11328125,0
2021-04-11 01:07:00,59721.640625,59721.640625,59721.640625,59721.640625,59721.640625,0
2021-04-11 01:08:00,59757.5859375,59757.5859375,59757.5859375,59757.5859375,59757.5859375,2584576
2021-04-11 01:09:00,59814.50390625,59814.50390625,59814.50390625,59814.50390625,59814.50390625,21495808
2021-04-11 01:10:00,59859.734375,59859.734375,59859.734375,59859.734375,59859.734375,133685248
2021-04-11 01:11:00,59913.23046875,59913.23046875,59913.23046875,59913.23046875,59913.23046875,29405184
2021-04-11 01:12:00,59992.453125,59992.453125,59992.453125,59992.453125,59992.453125,53534720
2021-04-11 01:13:00,60040.78125,60040.78125,60040.78125,60040.78125,60040.78125,117903360
2021-04-11 01:14:00,60088.515625,60088.515625,60088.515625,60088.515625,60088.515625,33710080
2021-04-11 01:15:00,60183.390625,60183.390625,60183.390625,60183.390625,60183.390625,36130816
2021-04-11 01:16:00,60141.58984375,60141.58984375,60141.58984375,60141.58984375,60141.58984375,72413184
